29/11/2009,,,,,,,,,,
,,,,,,,,,,
,Ticker,,ValComp,MomComp,RevComp,RiskComp,QualComp,GrowthComp,Price,Sector
EXXON MOBIL CORP,XOM,,55%,16%,10%,23%,99%,3%,74.35,Energy
MICROSOFT CORP,MSFT,,68%,93%,75%,56%,94%,58%,29.01,Information Technology
PROCTER & GAMBLE,PG,,66%,69%,27%,13%,92%,40%,61.75,Consumer Staples
APPLE,AAPL,,96%,94%,92%,66%,55%,96%,199.14,Information Technology
JOHNSON&JOHNSON,JNJ,,49%,70%,40%,23%,91%,26%,62.1,Health Care
GENERAL ELECTRIC,GE,,62%,36%,33%,78%,31%,53%,15.47,Industrials
IBM,IBM,,32%,70%,49%,31%,97%,40%,124.26,Information Technology
JPMORGAN CHASE,JPM,,33%,37%,96%,95%,13%,35%,40.82,Financials
AT&T INC,T,,11%,17%,47%,50%,45%,22%,26.46,Telecommunication Services
CHEVRON CORP,CVX,,27%,48%,53%,75%,93%,17%,77.35,Energy
PFIZER INC,PFE,,12%,63%,76%,39%,23%,6%,18.01,Health Care
GOOGLE INC-CL A,GOOG,,97%,97%,73%,40%,55%,98%,571.58,Information Technology
BANK OF AMERICA,BAC,,68%,67%,1%,1%,12%,41%,15.34,Financials
CISCO SYSTEMS,CSCO,,72%,69%,85%,58%,91%,66%,23.09,Information Technology
COCA-COLA CO,KO,,91%,68%,37%,22%,85%,34%,56.76,Consumer Staples
WELLS FARGO & CO,WFC,,27%,26%,93%,94%,20%,66%,27,Financials
HEWLETT-PACKARD,HPQ,,19%,85%,60%,39%,75%,72%,48.7,Information Technology
WAL-MART STORES,WMT,,38%,20%,37%,43%,86%,53%,54.25,Consumer Staples
MERCK & CO,MRK,,69%,92%,63%,15%,87%,19%,35.75,Health Care
INTEL CORP,INTC,,62%,42%,88%,65%,71%,61%,18.9,Information Technology
PEPSICO INC,PEP,,75%,73%,50%,34%,87%,49%,62.07,Consumer Staples
PHILIP MORRIS,PM,,67%,52%,55%,48%,99%,54%,49.12,Consumer Staples
VERIZON COMMUNIC,VZ,,12%,18%,27%,17%,58%,12%,31.34,Telecommunication Services
ORACLE CORP,ORCL,,59%,50%,18%,10%,96%,78%,22.15,Information Technology
GOLDMAN SACHS GP,GS,,7%,34%,95%,96%,33%,38%,164.5,Financials
ABBOTT LABS,ABT,,60%,43%,45%,28%,77%,59%,53.42,Health Care
CONOCOPHILLIPS,COP,,23%,31%,60%,66%,69%,1%,50.98,Energy
SCHLUMBERGER LTD,SLB,,91%,30%,53%,36%,81%,5%,62.36,Energy
QUALCOMM INC,QCOM,,83%,28%,4%,3%,46%,95%,44.76,Information Technology
MCDONALDS CORP,MCD,,70%,45%,53%,49%,90%,79%,63.05,Consumer Discretionary
OCCIDENTAL PETE,OXY,,68%,64%,54%,75%,80%,17%,79.9,Energy
UNITED TECH CORP,UTX,,45%,76%,39%,29%,86%,56%,66.46,Industrials
AMGEN INC,AMGN,,32%,22%,51%,46%,83%,38%,55.98,Health Care
UNITED PARCEL-B,UPS,,76%,48%,48%,48%,75%,37%,56.69,Consumer Discretionary
WALT DISNEY CO,DIS,,48%,84%,51%,40%,63%,40%,29.8,Consumer Discretionary
CITIGROUP INC,C,,81%,13%,,98%,2%,4%,3.98,Financials
3M CO,MMM,,64%,88%,83%,70%,61%,53%,76.38,Industrials
BRISTOL-MYER SQB,BMY,,46%,87%,18%,20%,46%,7%,24.98,Health Care
AMERICAN EXPRESS,AXP,,89%,99%,97%,93%,56%,77%,40.45,Financials
MEDTRONIC INC,MDT,,56%,84%,52%,35%,83%,64%,42.26,Health Care
HOME DEPOT INC,HD,,40%,66%,50%,54%,76%,54%,27.11,Consumer Discretionary
CVS CAREMARK COR,CVS,,21%,13%,19%,28%,63%,83%,30.74,Consumer Staples
US BANCORP,USB,,61%,32%,77%,82%,36%,29%,22.76,Financials
AMAZON.COM INC,AMZN,,98%,99%,86%,52%,68%,99%,130,Consumer Discretionary
MONSANTO CO,MON,,88%,8%,2%,5%,62%,82%,78.62,Materials
COMCAST CORP-A,CMCSA,,10%,15%,64%,80%,40%,62%,14.64,Consumer Discretionary
MORGAN STANLEY,MS,,48%,23%,5%,56%,17%,36%,30.08,Financials
GILEAD SCIENCES,GILD,,80%,13%,76%,61%,94%,91%,46,Health Care
COLGATE-PALMOLIV,CL,,82%,68%,17%,31%,97%,48%,82.65,Consumer Staples
ALTRIA GROUP INC,MO,,41%,47%,23%,34%,76%,28%,18.91,Consumer Staples
KRAFT FOODS INC,KFT,,31%,14%,34%,55%,42%,34%,26.47,Consumer Staples
WALGREEN CO,WAG,,42%,79%,63%,51%,66%,87%,38.53,Consumer Staples
BOEING CO,BA,,77%,52%,9%,13%,89%,29%,51,Industrials
ELI LILLY & CO,LLY,,16%,20%,64%,50%,28%,6%,36.58,Health Care
TIME WARNER INC,TWX,,11%,74%,34%,46%,45%,61%,30.31,Consumer Discretionary
CATERPILLAR INC,CAT,,80%,89%,81%,97%,62%,45%,56.96,Industrials
TARGET CORP,TGT,,29%,53%,63%,76%,70%,88%,46.71,Consumer Discretionary
FREEPORT-MCMORAN,FCX,,72%,98%,98%,87%,56%,77%,83.2,Materials
UNITEDHEALTH GRP,UNH,,4%,57%,42%,37%,93%,38%,28.84,Health Care
EMC CORP/MASS,EMC,,63%,71%,73%,51%,44%,84%,16.35,Information Technology
BAXTER INTL INC,BAX,,64%,16%,35%,21%,94%,63%,53.85,Health Care
APACHE CORP,APA,,49%,39%,80%,62%,58%,41%,93.28,Energy
LOWE'S COS INC,LOW,,33%,40%,41%,33%,54%,68%,21.45,Consumer Discretionary
DOW CHEMICAL,DOW,,78%,92%,80%,96%,30%,28%,27.2,Materials
UNION PAC CORP,UNP,,60%,72%,31%,31%,46%,72%,62.73,Consumer Discretionary
BANK NY MELLON,BK,,6%,9%,67%,70%,26%,57%,26.01,Financials
DU PONT (EI),DD,,71%,77%,71%,91%,76%,44%,34,Materials
TEXAS INSTRUMENT,TXN,,68%,83%,92%,70%,90%,57%,24.69,Information Technology
EXELON CORP,EXC,,18%,8%,9%,16%,67%,11%,47.38,Utilities
EMERSON ELEC CO,EMR,,54%,80%,82%,68%,93%,72%,40.97,Industrials
ANADARKO PETROLE,APC,,95%,49%,96%,92%,48%,4%,60.39,Energy
DEVON ENERGY CO,DVN,,64%,28%,58%,79%,34%,20%,66.2,Energy
TRAVELERS COS IN,TRV,,2%,64%,83%,86%,72%,17%,51.55,Financials
DIRECTV-A,DTV,,47%,95%,29%,18%,68%,89%,30.96,Consumer Discretionary
MEDCO HEALTH SOL,MHS,,56%,96%,44%,25%,67%,94%,61.7,Health Care
HONEYWELL INTL,HON,,26%,50%,66%,68%,39%,49%,37.93,Industrials
FORD MOTOR CO,F,,71%,96%,64%,100%,1%,52%,8.5,Consumer Discretionary
METLIFE INC,MET,,5%,21%,54%,53%,21%,58%,33.11,Financials
KIMBERLY-CLARK,KMB,,46%,88%,77%,77%,76%,45%,64.78,Consumer Staples
NEWS CORP-A,NWSA,,33%,43%,62%,71%,30%,43%,11.42,Consumer Discretionary
HALLIBURTON CO,HAL,,62%,62%,79%,65%,59%,47%,28.48,Energy
NEWMONT MINING,NEM,,87%,54%,81%,68%,5%,53%,52.44,Materials
COSTCO WHOLESALE,COST,,59%,80%,70%,59%,32%,75%,59.49,Consumer Staples
EBAY INC,EBAY,,57%,67%,51%,28%,23%,73%,22.9,Information Technology
PNC FINANCIAL SE,PNC,,43%,75%,99%,98%,19%,36%,54.88,Financials
CORNING INC,GLW,,78%,56%,75%,55%,45%,77%,16.26,Information Technology
WELLPOINT INC,WLP,,3%,68%,55%,40%,71%,76%,53.26,Health Care
GENERAL DYNAMICS,GD,,16%,72%,31%,21%,80%,30%,66.52,Industrials
FEDEX CORP,FDX,,51%,96%,73%,76%,33%,67%,81.13,Consumer Discretionary
BURLINGTON NORTH,BNI,,69%,96%,14%,22%,64%,62%,98.15,Consumer Discretionary
NIKE INC -CL B,NKE,,65%,66%,43%,36%,68%,65%,64,Consumer Discretionary
CELGENE CORP,CELG,,99%,65%,50%,15%,26%,98%,53.93,Health Care
SOUTHERN CO,SO,,58%,17%,16%,37%,26%,17%,31.5,Utilities
PRAXAIR INC,PX,,90%,46%,50%,45%,83%,36%,80.83,Materials
LOCKHEED MARTIN,LMT,,9%,12%,43%,47%,98%,33%,76.27,Industrials
DELL INC,DELL,,14%,35%,25%,4%,78%,43%,14.03,Information Technology
XTO ENERGY INC,XTO,,35%,19%,43%,44%,70%,18%,41.32,Energy
EXPRESS SCRIPT,ESRX,,78%,88%,32%,9%,57%,96%,85.08,Health Care
MARATHON OIL,MRO,,21%,27%,18%,17%,74%,21%,32.17,Energy
PRUDENTL FINL,PRU,,4%,50%,87%,89%,13%,61%,47.84,Financials
MASTERCARD INC-A,MA,,94%,90%,62%,41%,53%,97%,234.62,Information Technology
DEERE & CO,DE,,89%,73%,13%,24%,39%,40%,51.9,Industrials
EOG RESOURCES,EOG,,92%,48%,85%,81%,61%,43%,86.1,Energy
GENERAL MILLS IN,GIS,,59%,92%,60%,78%,90%,49%,67.57,Consumer Staples
AUTOMATIC DATA,ADP,,67%,60%,35%,17%,87%,67%,43,Information Technology
DOMINION RES/VA,D,,43%,47%,20%,48%,27%,20%,36.11,Utilities
CME GROUP INC,CME,,62%,33%,24%,50%,83%,44%,322.24,Financials
DUKE ENERGY CORP,DUK,,51%,78%,25%,33%,15%,11%,16.44,Utilities
FPL GROUP INC,FPL,,33%,7%,13%,32%,29%,32%,51.43,Utilities
AFLAC INC,AFL,,10%,62%,49%,45%,78%,75%,43.78,Financials
SIMON PROPERTY,SPG,,98%,72%,3%,25%,16%,29%,70,Financials
STATE ST CORP,STT,,5%,9%,32%,29%,20%,55%,40,Financials
ARCHER-DANIELS,ADM,,29%,29%,63%,88%,52%,52%,30.29,Consumer Staples
RAYTHEON CO,RTN,,9%,63%,41%,21%,73%,49%,51.02,Industrials
THERMO FISHER,TMO,,50%,80%,47%,22%,55%,54%,46.93,Health Care
MOTOROLA INC,MOT,,82%,65%,46%,91%,13%,26%,7.96,Information Technology
ILLINOIS TOOL WO,ITW,,73%,86%,91%,82%,84%,65%,48.05,Industrials
NORFOLK SOUTHERN,NSC,,59%,91%,24%,33%,63%,54%,50.44,Consumer Discretionary
ADOBE SYS INC,ADBE,,92%,73%,58%,18%,89%,82%,34.88,Information Technology
CSX CORP,CSX,,52%,89%,19%,35%,56%,78%,46.55,Consumer Discretionary
NATL OILWELL VAR,NOV,,8%,33%,75%,52%,51%,25%,43,Energy
DANAHER CORP,DHR,,70%,56%,59%,42%,42%,55%,70.02,Industrials
VIACOM INC-B,VIA/B,,31%,83%,77%,88%,69%,29%,29.42,Consumer Discretionary
JOHNSON CONTROLS,JCI,,67%,87%,79%,86%,13%,61%,26.37,Consumer Discretionary
ALLERGAN INC,AGN,,90%,81%,54%,19%,65%,81%,57.86,Health Care
YAHOO! INC,YHOO,,81%,10%,42%,16%,18%,91%,15.01,Information Technology
BECTON DICKINSON,BDX,,50%,40%,30%,13%,92%,64%,74.15,Health Care
NORTHROP GRUMMAN,NOC,,5%,63%,60%,69%,53%,37%,54.62,Industrials
CHUBB CORP,CB,,2%,47%,87%,89%,84%,40%,49.32,Financials
CAPITAL ONE FINA,COF,,69%,79%,,68%,12%,55%,37.22,Financials
AIR PRODS & CHEM,APD,,77%,76%,66%,58%,38%,47%,81.03,Materials
SCHWAB (CHARLES),SCHW,,92%,21%,6%,4%,69%,85%,17.71,Financials
HESS CORP,HES,,42%,10%,82%,86%,64%,4%,56.9,Energy
BB&T CORP,BBT,,42%,18%,3%,2%,16%,26%,24.42,Financials
STAPLES INC,SPLS,,41%,69%,30%,25%,36%,85%,22.68,Consumer Discretionary
MCKESSON CORP,MCK,,13%,94%,70%,56%,59%,83%,62.34,Health Care
KOHLS CORP,KSS,,34%,55%,80%,71%,86%,82%,53.96,Consumer Discretionary
FRANKLIN RES INC,BEN,,74%,91%,94%,72%,82%,45%,109.74,Financials
YUM! BRANDS INC,YUM,,66%,36%,33%,45%,22%,65%,34.94,Consumer Discretionary
APPLIED MATERIAL,AMAT,,88%,21%,87%,74%,37%,43%,12.09,Information Technology
TJX COS INC,TJX,,29%,78%,83%,67%,64%,74%,38.15,Consumer Discretionary
WASTE MANAGEMENT,WM,,45%,67%,24%,34%,66%,54%,32.75,Industrials
AMERICAN TOWER-A,AMT,,99%,85%,33%,34%,8%,97%,40.05,Telecommunication Services
SYSCO CORP,SYY,,31%,43%,42%,53%,95%,55%,26.66,Consumer Staples
STARBUCKS CORP,SBUX,,73%,96%,84%,71%,50%,92%,21.05,Consumer Discretionary
PUB SERV ENTERP,PEG,,25%,14%,38%,26%,54%,10%,30.81,Utilities
PG&E CORP,PCG,,37%,49%,15%,35%,49%,25%,42.06,Utilities
ALLSTATE CORP,ALL,,1%,25%,58%,61%,47%,19%,28.2,Financials
CHESAPEAKE ENERG,CHK,,36%,19%,68%,77%,33%,20%,23.58,Energy
ENTERGY CORP,ETR,,39%,18%,12%,31%,55%,20%,78.37,Utilities
TIME WARNER,TWC,,12%,90%,39%,54%,2%,37%,41.87,Consumer Discretionary
AMERICAN ELECTRI,AEP,,36%,36%,47%,60%,12%,11%,31.57,Utilities
SOUTHWESTRN ENGY,SWN,,98%,20%,37%,14%,55%,100%,43,Energy
AVON PRODUCTS,AVP,,84%,81%,65%,57%,88%,22%,34.33,Consumer Staples
KROGER CO,KR,,16%,8%,9%,15%,74%,48%,22.74,Consumer Staples
PRECISION CASTPT,PCP,,56%,89%,7%,5%,46%,85%,103.98,Industrials
BEST BUY CO INC,BBY,,28%,75%,61%,49%,58%,77%,42.43,Consumer Discretionary
SYMANTEC CORP,SYMC,,27%,58%,52%,29%,43%,37%,17.6,Information Technology
CARNIVAL CORP,CCL,,61%,58%,72%,81%,50%,79%,31.52,Consumer Discretionary
STRYKER CORP,SYK,,58%,90%,41%,10%,85%,72%,49.11,Health Care
PACCAR INC,PCAR,,97%,56%,11%,26%,78%,61%,36.96,Industrials
GENZYME CORP,GENZ,,68%,2%,4%,4%,47%,98%,50.58,Health Care
KELLOGG CO,K,,71%,77%,32%,39%,57%,46%,52.94,Consumer Staples
BIOGEN IDEC INC,BIIB,,28%,6%,32%,25%,42%,30%,46.44,Health Care
JUNIPER NETWORKS,JNPR,,94%,28%,79%,48%,37%,94%,25.27,Information Technology
HJ HEINZ CO,HNZ,,52%,54%,58%,64%,84%,28%,42.21,Consumer Staples
NUCOR CORP,NUE,,67%,9%,34%,27%,82%,17%,41.13,Materials
LORILLARD INC,LO,,49%,52%,14%,7%,100%,21%,78.35,Consumer Staples
WESTERN UNION,WU,,53%,28%,41%,21%,97%,75%,18.34,Information Technology
SEMPRA ENERGY,SRE,,51%,59%,17%,60%,67%,23%,52.61,Utilities
COGNIZANT TECH-A,CTSH,,96%,95%,78%,44%,61%,94%,43.5,Information Technology
LOEWS CORP,L,,2%,79%,77%,83%,71%,17%,34.91,Financials
BOSTON SCIENTIFC,BSX,,44%,5%,7%,16%,19%,89%,8.31,Health Care
FIRSTENERGY CORP,FE,,33%,17%,20%,32%,50%,17%,42.2,Utilities
AETNA INC,AET,,3%,21%,14%,6%,90%,72%,28.83,Health Care
ST JUDE MEDICAL,STJ,,65%,11%,6%,11%,77%,81%,36.04,Health Care
BAKER HUGHES INC,BHI,,47%,16%,27%,6%,66%,35%,40.05,Energy
BROADCOM CORP-A,BRCM,,95%,44%,89%,59%,59%,95%,28.52,Information Technology
ALCOA INC,AA,,95%,58%,82%,99%,10%,40%,12.5,Materials
ZIMMER HLDGS,ZMH,,53%,93%,49%,20%,81%,43%,57.79,Health Care
SPECTRA ENERG,SE,,71%,54%,30%,75%,33%,28%,19.23,Energy
T ROWE PRICE GRP,TROW,,96%,38%,83%,62%,87%,61%,47.64,Financials
PEABODY ENERGY,BTU,,65%,75%,91%,85%,82%,61%,43.36,Energy
MARSH & MCLENNAN,MMC,,30%,28%,87%,81%,24%,72%,22.27,Financials
WILLIAMS COS INC,WMB,,56%,70%,45%,82%,24%,75%,19.82,Energy
CONS EDISON INC,ED,,47%,74%,31%,63%,28%,12%,42.25,Utilities
NORTHERN TRUST,NTRS,,36%,3%,4%,3%,28%,62%,47.01,Financials
CARDINAL HEALTH,CAH,,12%,82%,61%,53%,38%,72%,31.86,Health Care
PPL CORPORATION,PPL,,56%,10%,18%,30%,57%,25%,30.29,Utilities
PROGRESSIVE CORP,PGR,,13%,37%,52%,51%,69%,27%,16.63,Financials
NOBLE ENERGY INC,NBL,,76%,25%,82%,83%,96%,12%,64.05,Energy
OMNICOM GROUP,OMC,,27%,51%,21%,19%,72%,40%,35.73,Consumer Discretionary
SPRINT NEXTEL CO,S,,20%,4%,36%,81%,13%,3%,3.72,Telecommunication Services
COACH INC,COH,,65%,85%,86%,64%,98%,87%,34.77,Consumer Discretionary
SUNTRUST BANKS,STI,,84%,53%,,,8%,27%,21.95,Financials
INTL PAPER CO,IP,,19%,98%,81%,90%,14%,20%,24.64,Materials
EDISON INTL,EIX,,25%,50%,19%,38%,58%,21%,33.61,Utilities
MURPHY OIL CORP,MUR,,29%,15%,46%,7%,74%,90%,56.4,Energy
PROGRESS ENERGY,PGN,,43%,30%,30%,47%,11%,12%,38.73,Utilities
EATON CORP,ETN,,56%,92%,88%,92%,60%,48%,63.32,Industrials
CENTURYTEL INC,CTL,,25%,79%,68%,84%,10%,6%,35.8,Telecommunication Services
AON CORP,AOC,,15%,11%,8%,11%,32%,45%,38.4,Financials
ECOLAB INC,ECL,,77%,45%,30%,28%,93%,72%,44.13,Materials
GAP INC/THE,GPS,,20%,65%,85%,66%,80%,57%,21.81,Consumer Discretionary
INTUITIVE SURGIC,ISRG,,100%,100%,83%,54%,78%,98%,274.34,Health Care
PUBLIC STORAGE,PSA,,87%,43%,3%,5%,35%,9%,76.71,Financials
NETAPP INC,NTAP,,94%,99%,89%,57%,25%,92%,30.33,Information Technology
PAYCHEX INC,PAYX,,94%,67%,14%,9%,85%,80%,30.96,Information Technology
AGILENT TECH INC,A,,93%,97%,80%,79%,92%,90%,28.43,Information Technology
PPG INDS INC,PPG,,44%,81%,79%,83%,41%,8%,59.01,Materials
VORNADO RLTY TST,VNO,,90%,64%,98%,97%,16%,25%,62,Financials
CONAGRA FOODS,CAG,,37%,68%,36%,63%,67%,32%,22.15,Consumer Staples
BED BATH &BEYOND,BBBY,,55%,69%,71%,55%,52%,68%,36.66,Consumer Discretionary
MCGRAW-HILL COS,MHP,,20%,24%,15%,17%,77%,32%,30.3,Consumer Discretionary
AMERIPRISE FINAN,AMP,,7%,62%,92%,72%,6%,64%,37.08,Financials
HARTFORD FINL SV,HIG,,26%,71%,97%,96%,6%,11%,23.8,Financials
INTUIT INC,INTU,,53%,32%,24%,12%,79%,88%,29.07,Information Technology
ITT CORP,ITT,,19%,51%,55%,38%,59%,40%,50.74,Industrials
CH ROBINSON,CHRW,,85%,27%,39%,17%,92%,89%,55.2,Consumer Discretionary
SAFEWAY INC,SWY,,5%,26%,16%,18%,75%,3%,22.33,Consumer Staples
INVESCO LTD,IVZ,,66%,73%,74%,66%,28%,64%,21.85,Financials
CUMMINS INC,CMI,,66%,71%,84%,79%,59%,35%,44.5,Industrials
FOREST LABS INC,FRX,,9%,87%,19%,5%,74%,17%,30.37,Health Care
XCEL ENERGY INC,XEL,,37%,59%,11%,32%,17%,19%,20.11,Utilities
CAMERON INTERNAT,CAM,,57%,45%,65%,53%,53%,9%,37.17,Energy
L-3 COMM HLDGS,LLL,,6%,34%,36%,59%,72%,58%,78.17,Industrials
QUEST DIAGNOSTIC,DGX,,42%,54%,46%,53%,87%,74%,57.91,Health Care
BOSTON PROPERTIE,BXP,,89%,61%,49%,70%,31%,18%,63.45,Financials
VALERO ENERGY,VLO,,44%,1%,5%,27%,42%,1%,15.95,Energy
CBS CORP-B,CBS,,47%,95%,78%,88%,16%,5%,12.65,Consumer Discretionary
REPUBLIC SVCS,RSG,,58%,82%,29%,60%,14%,79%,27.84,Industrials
CIGNA CORP,CI,,10%,98%,33%,40%,68%,44%,31.82,Health Care
HCP INC,HCP,,76%,77%,94%,94%,19%,11%,29.56,Financials
LIFE TECHNOLOGIE,LIFE,,74%,88%,73%,80%,2%,47%,49.68,Health Care
PRICELINE.COM,PCLN,,97%,99%,86%,63%,54%,97%,207.09,Consumer Discretionary
CA INC,CA,,24%,48%,28%,14%,24%,43%,21.67,Information Technology
PARKER HANNIFIN,PH,,55%,57%,88%,90%,66%,47%,53.04,Industrials
EQUITY RESIDENTI,EQR,,86%,53%,99%,98%,30%,7%,30.78,Financials
REYNOLDS AMERICA,RAI,,19%,93%,66%,59%,65%,21%,50.6,Consumer Staples
ANALOG DEVICES,ADI,,84%,82%,96%,73%,57%,52%,29,Information Technology
SARA LEE CORP,SLE,,18%,83%,35%,63%,70%,23%,12,Consumer Staples
AES CORP,AES,,36%,46%,44%,62%,80%,61%,12.67,Utilities
WESTERN DIGITAL,WDC,,6%,94%,98%,77%,89%,32%,37.25,Information Technology
ROCKWELL COLLINS,COL,,54%,87%,54%,35%,95%,93%,53.17,Industrials
CONSOL ENERGY,CNX,,60%,32%,12%,7%,94%,55%,45,Energy
CLOROX CO,CLX,,43%,51%,40%,57%,32%,45%,59.69,Consumer Staples
PRINCIPAL FINL,PFG,,3%,31%,72%,78%,12%,48%,24.9,Financials
COMPUTER SCIENCE,CSC,,4%,86%,40%,36%,34%,37%,54.2,Information Technology
DISCOVER FINANCI,DFS,,74%,78%,100%,55%,25%,29%,15.1,Financials
WEYERHAEUSER CO,WY,,97%,41%,13%,,32%,9%,37.64,Materials
