29/11/2009,,,,,,,,,,
LABORATORY CP,LH,,38%,70%,38%,38%,88%,75%,72.95,Health Care
CR BARD INC,BCR,,61%,25%,26%,12%,91%,82%,80.77,Health Care
FLUOR CORP,FLR,,14%,6%,10%,7%,82%,99%,42.5,Industrials
FIFTH THIRD BANC,FITB,,85%,74%,0%,0%,4%,8%,9.65,Financials
INTERCONTINENTAL,ICE,,87%,20%,66%,49%,56%,88%,104.5,Financials
DOVER CORP,DOV,,49%,72%,71%,69%,53%,85%,40.29,Industrials
HOSPIRA INC,HSP,,54%,94%,74%,69%,38%,76%,46.7,Health Care
GOODRICH CORP,GR,,25%,76%,16%,13%,52%,57%,59.52,Industrials
RANGE RESOURCES,RRC,,99%,15%,51%,79%,30%,13%,46.81,Energy
AMERISOURCEBERGE,ABC,,17%,95%,74%,58%,71%,73%,24.55,Health Care
MACY'S INC,M,,7%,58%,90%,93%,27%,52%,16.93,Consumer Discretionary
AMPHENOL CORP-A,APH,,79%,67%,71%,60%,97%,95%,41.15,Information Technology
FISERV INC,FISV,,37%,30%,15%,43%,88%,83%,46.31,Information Technology
LINCOLN NATL CRP,LNC,,1%,42%,56%,57%,10%,46%,22.73,Financials
FIDELITY NATIONA,FIS,,41%,29%,75%,67%,67%,83%,22.45,Information Technology
BMC SOFTWARE INC,BMC,,53%,29%,51%,40%,78%,85%,37.6,Information Technology
NVIDIA CORP,NVDA,,87%,33%,94%,97%,34%,85%,12.57,Information Technology
J.C. PENNEY CO,JCP,,30%,24%,74%,84%,35%,80%,29.59,Consumer Discretionary
MATTEL INC,MAT,,47%,25%,56%,54%,62%,35%,19.41,Consumer Discretionary
HUMANA INC,HUM,,1%,69%,39%,8%,39%,56%,40.8,Health Care
MOLSON COORS-B,TAP,,55%,18%,80%,85%,21%,72%,44.31,Consumer Staples
SALESFORCE.COM,CRM,,100%,88%,25%,3%,15%,100%,61.43,Information Technology
APOLLO GROUP-A,APOL,,23%,3%,53%,20%,98%,93%,54.99,Consumer Discretionary
CITRIX SYSTEMS,CTXS,,95%,38%,38%,15%,15%,64%,37.64,Information Technology
DIAMOND OFFSHORE,DO,,26%,58%,43%,30%,79%,99%,98.3,Energy
JM SMUCKER CO,SJM,,34%,97%,64%,73%,4%,30%,57.66,Consumer Staples
QUESTAR CORP,STR,,50%,38%,69%,69%,60%,17%,39.01,Utilities
EXPEDITORS INTL,EXPD,,84%,11%,47%,4%,76%,95%,31.9,Consumer Discretionary
H&R BLOCK INC,HRB,,27%,52%,12%,10%,18%,61%,20.07,Consumer Discretionary
REGIONS FINANCIA,RF,,83%,38%,,,1%,4%,5.52,Financials
XEROX CORP,XRX,,9%,26%,68%,81%,40%,3%,7.58,Information Technology
DR PEPPER SNAPPL,DPS,,29%,41%,24%,39%,25%,40%,26.37,Consumer Staples
CAMPBELL SOUP CO,CPB,,54%,85%,66%,76%,99%,32%,34.81,Consumer Staples
EL PASO CORP,EP,,69%,14%,35%,82%,20%,32%,9.48,Energy
HARLEY-DAVIDSON,HOG,,89%,100%,27%,25%,70%,57%,27.96,Consumer Discretionary
FMC TECHNOLOGIES,FTI,,77%,66%,77%,67%,96%,72%,53.08,Energy
SMITH INTL INC,SII,,38%,7%,9%,10%,95%,79%,26.1,Energy
SOUTHWEST AIR,LUV,,70%,56%,91%,86%,30%,82%,8.81,Consumer Discretionary
DTE ENERGY CO,DTE,,11%,90%,59%,91%,22%,9%,39.7,Utilities
NYSE EURONEXT,NYX,,7%,8%,56%,64%,47%,67%,25.02,Financials
VENTAS INC,VTR,,85%,86%,58%,76%,56%,7%,40.88,Financials
SIGMA-ALDRICH,SIAL,,79%,40%,65%,44%,90%,45%,52.76,Materials
MARRIOTT INTL-A,MAR,,88%,33%,26%,30%,53%,18%,24.98,Consumer Discretionary
VF CORP,VFC,,34%,50%,40%,42%,44%,58%,71.23,Consumer Discretionary
ENSCO INTL,ESV,,11%,34%,22%,8%,58%,17%,43.8,Energy
UNUM GROUP,UNM,,1%,25%,17%,12%,37%,22%,18.84,Financials
CONSTELLAT ENER,CEG,,5%,58%,84%,85%,7%,72%,31.82,Utilities
COCA-COLA ENTER,CCE,,16%,55%,48%,74%,58%,32%,19.79,Consumer Staples
SUN MICROSYSTEMS,JAVA,,73%,30%,8%,1%,7%,34%,8.5,Information Technology
MCAFEE INC,MFE,,70%,18%,42%,16%,20%,87%,39.76,Information Technology
XL CAPITAL LTD-A,XL,,0%,97%,93%,93%,6%,1%,17.57,Financials
XILINX INC,XLNX,,76%,32%,95%,71%,38%,80%,22.33,Information Technology
MICRON TECH,MU,,50%,60%,99%,92%,2%,56%,7.16,Information Technology
ROCKWELL AUTOMAT,ROK,,75%,81%,89%,77%,94%,48%,42.69,Industrials
PROLOGIS,PLD,,46%,57%,7%,59%,4%,41%,12.65,Financials
VULCAN MATERIALS,VMC,,86%,14%,2%,20%,19%,100%,48.31,Materials
DAVITA INC,DVA,,41%,85%,62%,68%,95%,73%,58.98,Health Care
ALTERA CORP,ALTR,,96%,63%,91%,65%,93%,92%,20.54,Information Technology
HUDSON CITY BNCP,HCBK,,8%,12%,48%,43%,25%,98%,12.9,Financials
WW GRAINGER INC,GWW,,49%,61%,70%,46%,81%,61%,96.34,Industrials
US STEEL CORP,X,,75%,44%,52%,99%,47%,28%,41.7,Materials
HOST HOTELS & RE,HST,,89%,24%,,94%,9%,2%,9.81,Financials
LINEAR TECH CORP,LLTC,,87%,40%,78%,61%,41%,80%,26.39,Information Technology
AMEREN CORP,AEE,,24%,14%,12%,24%,11%,9%,25.49,Utilities
STARWOOD HOTELS,HOT,,88%,62%,57%,72%,32%,32%,31.09,Consumer Discretionary
SHERWIN-WILLIAMS,SHW,,40%,47%,28%,39%,97%,46%,60.53,Consumer Discretionary
NABORS INDS LTD,NBR,,32%,36%,8%,15%,48%,45%,20.09,Energy
HERSHEY CO/THE,HSY,,54%,9%,44%,60%,86%,26%,35.4,Consumer Staples
VARIAN MEDICAL S,VAR,,73%,92%,21%,5%,88%,83%,46.22,Health Care
FORTUNE BRANDS,FO,,44%,23%,31%,65%,22%,56%,38.08,Consumer Discretionary
INTL GAME TECH,IGT,,82%,30%,21%,28%,81%,93%,19.13,Consumer Discretionary
HARRIS CORP,HRS,,15%,88%,86%,82%,72%,62%,43.73,Information Technology
GENUINE PARTS CO,GPC,,22%,22%,18%,11%,71%,36%,35.67,Consumer Discretionary
FIRST SOLAR INC,FSLR,,91%,1%,22%,14%,51%,99%,117.12,Industrials
FLOWSERVE CORP,FLS,,41%,77%,31%,24%,66%,17%,99.3,Industrials
PEOPLE'S UNITED,PBCT,,75%,10%,13%,9%,16%,43%,16.15,Financials
WATERS CORP,WAT,,82%,86%,65%,38%,99%,91%,58.69,Health Care
AVALONBAY COMMUN,AVB,,88%,31%,8%,36%,22%,20%,68.77,Financials
QWEST COMMUNICAT,Q,,4%,6%,41%,63%,22%,2%,3.8,Telecommunication Services
NORDSTROM INC,JWN,,52%,91%,92%,89%,68%,77%,33.88,Consumer Discretionary
ESTEE LAUDER,EL,,63%,91%,93%,84%,73%,87%,46.8,Consumer Staples
ELECTRONIC ARTS,ERTS,,58%,2%,4%,2%,10%,94%,17.13,Information Technology
MYLAN INC,MYL,,54%,94%,72%,88%,21%,94%,17.87,Health Care
TEXTRON INC,TXT,,82%,98%,17%,31%,27%,64%,19.88,Industrials
PLUM CREEK TIMBR,PCL,,91%,15%,76%,87%,77%,52%,33.59,Financials
BROWN-FORMAN -B,BF/B,,75%,42%,47%,35%,86%,17%,49.84,Consumer Staples
WHIRLPOOL CORP,WHR,,21%,91%,85%,80%,43%,17%,74.15,Consumer Discretionary
BJ SERVICES CO,BJS,,67%,39%,71%,47%,80%,17%,18.41,Energy
KLA-TENCOR CORP,KLAC,,91%,35%,99%,99%,17%,52%,31.55,Information Technology
PEPSI BOTTLING,PBG,,39%,74%,20%,41%,40%,27%,37.67,Consumer Staples
OWENS-ILLINOIS,OI,,16%,27%,32%,20%,48%,5%,31.53,Materials
AFFIL COMPUTER-A,ACS,,19%,82%,21%,29%,45%,67%,54.8,Information Technology
AUTODESK INC,ADSK,,95%,25%,56%,37%,62%,66%,23.39,Information Technology
M&T BANK CORP,MTB,,48%,59%,91%,92%,18%,12%,64.85,Financials
EXPEDIA INC,EXPE,,60%,83%,81%,67%,15%,85%,25.27,Consumer Discretionary
EQT CORP,EQT,,97%,22%,48%,24%,84%,90%,40.37,Utilities
O'REILLY AUTOMOT,ORLY,,61%,30%,67%,65%,27%,96%,38.65,Consumer Discretionary
TIFFANY & CO,TIF,,77%,99%,88%,77%,36%,48%,42.36,Consumer Discretionary
GENWORTH FINANCI,GNW,,36%,71%,4%,3%,7%,52%,10.64,Financials
WISCONSIN ENERGY,WEC,,72%,44%,14%,43%,46%,36%,44.97,Utilities
SLM CORP,SLM,,10%,77%,90%,94%,49%,82%,10.96,Financials
HEALTH CARE REIT,HCN,,72%,59%,5%,26%,5%,8%,42.98,Financials
RED HAT INC,RHT,,98%,79%,72%,50%,63%,98%,26.9,Information Technology
KEYCORP,KEY,,84%,15%,,,3%,18%,5.6,Financials
TERADATA CORP,TDC,,71%,77%,75%,61%,98%,82%,28.9,Information Technology
CENTERPOINT ENER,CNP,,24%,46%,15%,46%,8%,25%,12.93,Utilities
MASCO CORP,MAS,,63%,64%,79%,96%,42%,65%,13.35,Industrials
DENTSPLY INTL,XRAY,,73%,32%,37%,13%,61%,55%,33.03,Health Care
FASTENAL CO,FAST,,93%,24%,29%,8%,79%,88%,36.64,Industrials
PITNEY BOWES INC,PBI,,17%,12%,36%,61%,45%,2%,23.18,Industrials
PIONEER NATURAL,PXD,,86%,78%,20%,41%,79%,11%,40.92,Energy
MICROCHIP TECH,MCHP,,92%,49%,90%,55%,44%,56%,25.82,Information Technology
CAREFUSION CORP,CFN,,52%,50%,81%,93%,23%,87%,25.5,Health Care
BALL CORP,BLL,,30%,62%,42%,33%,92%,28%,49.54,Materials
MCCORMICK-N/V,MKC,,58%,56%,25%,41%,63%,40%,35.76,Consumer Staples
LEGG MASON INC,LM,,57%,63%,92%,83%,5%,23%,28.1,Financials
STERICYCLE INC,SRCL,,96%,26%,45%,56%,75%,93%,53.66,Industrials
MEADWESTVACO COR,MWV,,45%,98%,87%,94%,27%,52%,26.1,Materials
AMERICAN INTERNA,AIG,,40%,10%,100%,99%,3%,72%,33.1,Financials
SANDISK CORP,SNDK,,51%,41%,100%,100%,14%,90%,19.64,Information Technology
KIMCO REALTY,KIM,,80%,8%,93%,95%,12%,5%,11.87,Financials
LIMITED BRANDS,LTD,,24%,60%,84%,87%,85%,67%,16.85,Consumer Discretionary
AUTOZONE INC,AZO,,18%,17%,34%,37%,100%,68%,148.12,Consumer Discretionary
MOODY'S CORP,MCO,,22%,5%,73%,73%,91%,72%,23.07,Financials
POLO RALPH LAURE,RL,,48%,80%,90%,70%,51%,79%,77,Consumer Discretionary
WINDSTREAM CORP,WIN,,23%,71%,11%,23%,96%,7%,9.96,Telecommunication Services
JACOBS ENGIN GRP,JEC,,8%,2%,2%,2%,36%,85%,35.12,Industrials
WYNN RESORTS LTD,WYNN,,100%,84%,95%,97%,8%,22%,62.33,Consumer Discretionary
IRON MOUNTAIN,IRM,,70%,6%,22%,36%,21%,95%,24.24,Industrials
EASTMAN CHEMICAL,EMN,,28%,95%,59%,85%,70%,64%,59.14,Materials
FLIR SYSTEMS,FLIR,,76%,46%,50%,27%,49%,91%,28.64,Information Technology
AVERY DENNISON,AVY,,43%,80%,89%,91%,31%,25%,37.84,Industrials
FAMILY DOLLAR ST,FDO,,17%,18%,40%,21%,73%,72%,31.08,Consumer Discretionary
RR DONNELLEY & S,RRD,,6%,42%,67%,69%,34%,17%,20.68,Industrials
VERISIGN INC,VRSN,,63%,13%,25%,14%,37%,86%,21.86,Information Technology
DARDEN RESTAURAN,DRI,,15%,8%,8%,18%,65%,73%,30.38,Consumer Discretionary
COMERICA INC,CMA,,86%,53%,,,41%,18%,27.67,Financials
NORTHEAST UTILS,NU,,35%,38%,53%,38%,6%,25%,23.91,Utilities
DUN & BRADSTREET,DNB,,39%,12%,48%,51%,98%,73%,78.32,Industrials
LEUCADIA NATL,LUK,,92%,16%,,,9%,17%,21.44,Financials
GAMESTOP CORP-A,GME,,6%,11%,46%,16%,40%,84%,25,Consumer Discretionary
CINCINNATI FIN,CINF,,31%,19%,95%,95%,44%,17%,25.15,Financials
AKAMAI TECH,AKAM,,64%,43%,61%,30%,20%,41%,23.49,Information Technology
CEPHALON INC,CEPH,,20%,4%,44%,47%,3%,66%,55.09,Health Care
CF INDUSTRIES HO,CF,,12%,29%,2%,4%,100%,8%,81.91,Materials
NEWELL RUBBERMAI,NWL,,17%,66%,49%,71%,66%,34%,14.38,Consumer Discretionary
FMC CORP,FMC,,42%,35%,10%,19%,82%,26%,55,Materials
CABOT OIL & GAS,COG,,81%,33%,52%,48%,73%,0%,37.7,Energy
QUANTA SERVICES,PWR,,48%,3%,68%,49%,4%,58%,18.8,Industrials
NISOURCE INC,NI,,13%,89%,27%,73%,24%,6%,14.16,Utilities
WATSON PHARM,WPI,,24%,65%,59%,51%,11%,62%,37,Health Care
ADV MICRO DEVICE,AMD,,99%,90%,97%,100%,6%,75%,6.7,Information Technology
STANLEY WORKS,SWK,,38%,83%,76%,85%,48%,40%,48.58,Industrials
IMS HEALTH INC,RX,,32%,100%,56%,44%,0%,32%,21.3,Health Care
SCANA CORP,SCG,,45%,37%,11%,42%,18%,11%,34.94,Utilities
AIRGAS INC,ARG,,35%,31%,16%,30%,43%,50%,45.52,Materials
PALL CORP,PLL,,59%,54%,67%,52%,52%,77%,31.55,Industrials
ALLEGHENY ENERGY,AYE,,37%,2%,22%,32%,29%,25%,21.9,Utilities
TYSON FOODS-A,TSN,,10%,21%,11%,22%,34%,35%,12.2,Consumer Staples
MILLIPORE CORP,MIL,,61%,34%,34%,29%,35%,77%,67.04,Health Care
CINTAS CORP,CTAS,,26%,47%,57%,56%,52%,61%,28.11,Industrials
WHOLE FOODS MKT,WFMI,,38%,48%,22%,11%,39%,93%,25.94,Consumer Staples
BLACK & DECKER,BDK,,63%,97%,84%,91%,85%,11%,60.24,Consumer Discretionary
EQUIFAX INC,EFX,,32%,44%,39%,43%,89%,40%,28.85,Industrials
HASBRO INC,HAS,,35%,51%,44%,62%,64%,52%,29.11,Consumer Discretionary
ASSURANT INC,AIZ,,1%,59%,70%,75%,60%,52%,30.26,Financials
SEALED AIR CORP,SEE,,21%,64%,69%,75%,43%,25%,21.99,Materials
TORCHMARK CORP,TMK,,2%,34%,13%,8%,77%,32%,41.87,Financials
LSI CORP,LSI,,81%,50%,96%,76%,9%,2%,5.31,Information Technology
SCRIPPS NET-CL A,SNI,,78%,93%,72%,52%,15%,87%,40,Consumer Discretionary
PINNACLE WEST,PNW,,40%,82%,26%,58%,28%,23%,34.71,Utilities
SEARS HOLDINGS,SHLD,,30%,59%,23%,11%,73%,52%,70.33,Consumer Discretionary
ABERCROMBIE & FI,ANF,,53%,81%,88%,73%,65%,81%,39.87,Consumer Discretionary
PEPCO HOLDINGS,POM,,45%,37%,6%,27%,10%,25%,15.98,Utilities
DENBURY RESOURCE,DNR,,93%,5%,26%,18%,50%,5%,13.44,Energy
ROBERT HALF INTL,RHI,,78%,13%,65%,58%,95%,77%,22.04,Industrials
COVENTRY HEALTH,CVH,,3%,66%,55%,52%,81%,19%,22.35,Health Care
TOTAL SYS SERVS,TSS,,26%,75%,28%,14%,79%,52%,17.08,Information Technology
CONSTELLATION-A,STZ,,34%,90%,38%,72%,11%,47%,16.98,Consumer Staples
ALLEGHENY TECH,ATI,,80%,12%,3%,6%,72%,90%,33.5,Materials
DEVRY INC,DV,,65%,35%,76%,54%,54%,97%,54.28,Consumer Discretionary
WYNDHAM WORLDWID,WYN,,20%,93%,74%,83%,14%,17%,18.25,Consumer Discretionary
NATL SEMICONDUCT,NSM,,79%,23%,96%,89%,54%,72%,14.03,Information Technology
GOODYEAR TIRE,GT,,66%,31%,17%,47%,21%,72%,13.33,Consumer Discretionary
MASSEY ENERGY CO,MEE,,64%,86%,15%,12%,24%,72%,37,Energy
CMS ENERGY CORP,CMS,,31%,55%,6%,32%,17%,23%,14.03,Utilities
INTL FLVR & FRAG,IFF,,57%,75%,70%,78%,74%,21%,40.13,Materials
PACTIV CORP,PTV,,14%,28%,35%,45%,50%,64%,23.58,Materials
BEMIS CO,BMS,,22%,63%,68%,45%,19%,43%,28.65,Materials
INTERPUBLIC GRP,IPG,,25%,39%,9%,6%,7%,61%,6.25,Consumer Discretionary
TECO ENERGY INC,TE,,46%,76%,28%,66%,26%,92%,14.57,Utilities
LEGGETT & PLATT,LEG,,50%,68%,62%,84%,57%,90%,19.41,Consumer Discretionary
SUPERVALU INC,SVU,,2%,4%,7%,23%,29%,0%,14.51,Consumer Staples
SUNOCO INC,SUN,,39%,2%,6%,12%,89%,1%,25.25,Energy
KING PHARMACEUT,KG,,11%,85%,26%,7%,17%,30%,11.85,Health Care
PULTE HOMES INC,PHM,,46%,9%,2%,,1%,72%,9.04,Consumer Discretionary
FIRST HORIZON NA,FHN,,93%,37%,,,29%,27%,13.1,Financials
DR HORTON INC,DHI,,40%,23%,57%,1%,23%,33%,10.19,Consumer Discretionary
INTEGRYS ENERGY,TEG,,21%,56%,23%,37%,48%,17%,38,Utilities
DEAN FOODS CO,DF,,8%,3%,16%,44%,35%,78%,15.93,Consumer Staples
ROWAN COMPANIES,RDC,,15%,45%,23%,8%,38%,91%,24.5,Energy
MARSHALL &ILSLEY,MI,,83%,1%,,,3%,34%,5.4,Financials
NASDAQ OMX GROUP,NDAQ,,3%,3%,10%,22%,49%,88%,19.07,Financials
MEMC ELEC MATER,WFR,,69%,1%,5%,1%,99%,80%,11.95,Information Technology
CB RICHARD ELL-A,CBG,,98%,60%,1%,23%,1%,80%,10.62,Financials
HUNTINGTON BANC,HBAN,,85%,5%,1%,1%,5%,4%,3.62,Financials
HORMEL FOODS CRP,HRL,,22%,37%,29%,42%,64%,61%,37.51,Consumer Staples
MOLEX INC,MOLX,,52%,40%,98%,79%,43%,75%,18.78,Information Technology
WASH POST-B,WPO,,34%,22%,,6%,33%,17%,414,Consumer Discretionary
HARMAN INTL,HAR,,93%,84%,97%,88%,7%,72%,36.2,Consumer Discretionary
JABIL CIRCUIT,JBL,,13%,79%,97%,87%,14%,96%,12.93,Information Technology
GANNETT CO,GCI,,4%,61%,60%,90%,4%,7%,10.03,Consumer Discretionary
FRONTIER COMMUNI,FTR,,28%,22%,55%,80%,62%,2%,7.8,Telecommunication Services
PATTERSON COS,PDCO,,51%,51%,45%,24%,84%,86%,25.66,Health Care
JANUS CAPITAL GR,JNS,,79%,41%,82%,86%,5%,43%,12.74,Financials
RADIOSHACK CORP,RSH,,13%,73%,69%,42%,83%,37%,18.17,Consumer Discretionary
E*TRADE FINANCIA,ETFC,,85%,16%,1%,46%,1%,1%,1.59,Financials
RYDER SYSTEM INC,R,,18%,66%,61%,74%,35%,3%,40.1,Consumer Discretionary
FEDERATED INV-B,FII,,39%,27%,61%,50%,75%,36%,25.46,Financials
TELLABS INC,TLAB,,23%,11%,43%,27%,44%,32%,5.58,Information Technology
PERKINELMER INC,PKI,,44%,40%,64%,62%,51%,49%,18.79,Health Care
TENET HEALTHCARE,THC,,59%,55%,85%,95%,11%,35%,4.89,Health Care
QLOGIC CORP,QLGC,,79%,72%,89%,64%,88%,61%,18.03,Information Technology
AK STEEL HLDG,AKS,,90%,55%,78%,89%,47%,52%,19,Materials
SNAP-ON INC,SNA,,23%,35%,10%,9%,36%,90%,36.14,Industrials
NOVELLUS SYS,NVLS,,86%,39%,94%,93%,40%,47%,20.49,Information Technology
LENNAR CORP-CL A,LEN,,64%,44%,95%,,2%,72%,12.58,Consumer Discretionary
LEXMARK INTL-A,LXK,,15%,61%,90%,74%,96%,6%,24.96,Information Technology
BIG LOTS INC,BIG,,7%,19%,37%,19%,29%,86%,23.51,Consumer Discretionary
MONSTER WORLDWID,MWW,,94%,41%,7%,2%,26%,96%,14.85,Industrials
TESORO CORP,TSO,,18%,4%,46%,84%,61%,17%,12.7,Energy
NICOR INC,GAS,,14%,71%,33%,67%,51%,10%,39.09,Utilities
ZIONS BANCORP,ZION,,83%,4%,,,9%,41%,12.7,Financials
OFFICE DEPOT INC,ODP,,62%,61%,21%,,31%,63%,6.09,Consumer Discretionary
COMPUWARE CORP,CPWR,,14%,7%,23%,26%,69%,17%,7.08,Information Technology
JDS UNIPHASE,JDSU,,81%,74%,93%,74%,8%,87%,7.33,Information Technology
AUTONATION INC,AN,,30%,23%,57%,90%,31%,72%,17.08,Consumer Discretionary
METROPCS COMMUNI,PCS,,28%,0%,63%,90%,25%,99%,6.16,Telecommunication Services
TERADYNE INC,TER,,83%,42%,99%,99%,9%,92%,8.58,Information Technology
APARTMENT INVEST,AIV,,99%,52%,,98%,60%,23%,12.84,Financials
CONVERGYS CORP,CVG,,9%,54%,69%,78%,63%,43%,11.03,Information Technology
NOVELL INC,NOVL,,17%,7%,29%,9%,37%,65%,3.91,Information Technology
CIENA CORP,CIEN,,90%,20%,67%,97%,3%,67%,12.05,Information Technology
EASTMAN KODAK,EK,,80%,45%,59%,,41%,52%,4,Consumer Discretionary
NEW YORK TIMES-A,NYT,,35%,46%,57%,92%,23%,8%,8.4,Consumer Discretionary
KB HOME,KBH,,74%,5%,38%,,39%,72%,13.47,Consumer Discretionary
MEREDITH CORP,MDP,,22%,19%,20%,33%,41%,79%,27.2,Consumer Discretionary
DYNEGY INC-A,DYN,,72%,6%,1%,96%,18%,17%,1.79,Utilities
TITANIUM METALS,TIE,,74%,26%,5%,3%,91%,75%,9.76,Materials
MBIA INC,MBI,,8%,1%,98%,98%,49%,17%,3.35,Financials
